id|district
UP055|MUZAFFARNAGAR
BR021|MUZAFFARPUR
KA021|MYSORE
CT033|ManendrChimrBaratpur
CT031|MohlaManpurAmbaChoki
OR022|NABARANGAPUR
WB014|NADIA
AS018|NAGAON
TN011|NAGAPATTINAM
TG024|NAGARKURNOOL
RJ025|NAGAUR
MH017|NAGPUR
UA007|NAINITAL
BR022|NALANDA
AS019|NALBARI
TG006|NALGONDA
TN012|NAMAKKAL
SK003|NAMCHI
MH018|NANDED
MH019|NANDURBAR
AP032|NANDYALA
TG033|NARAYANPET
CT018|NARAYANPUR
GJ014|NARMADA
MP025|NARSIMHAPUR
MH020|NASHIK
GJ015|NAVSARI
BR023|NAWADA
OR023|NAYAGARH
MP026|NEEMACH
AP014|NELLORE
AN003|NICOBAR
TN013|NILGIRIS
TG011|NIRMAL
NL014|NIULAND
MP052|NIWARI
TG007|NIZAMABAD
NL012|NOKLAK
MN013|NONEY
WB015|NORTH 24 PARGANAS
ML011|NORTH GARO HILLS
GO001|NORTH GOA
TR001|NORTH TRIPURA
AN002|NORTH&amp;MIDDLE ANDAMAN
AP036|NTR
OR024|NUAPARHA
AR019|Namsai
DL006|New Delhi
DL002|North Delhi
DL003|North East Delhi
DL001|North West Delhi
MH009|OSMANABAD
JH014|PAKUR
SK005|PAKYONG
KL010|PALAKKAD
JH015|PALAMAU
MH035|PALGHAR
RJ026|PALI
AP030|PALNADU
HR020|PALWAL
GJ016|PANCH MAHAL
HR004|PANCHKULA
HR009|PANIPAT
MP027|PANNA
AR014|PAPUMPARE
MH021|PARBHANI
AP024|PARVATHIPURAM MANYAM
WB023|PASCHIM BARDHAMAN
WB019|PASCHIM MEDINIPUR
GJ017|PATAN
KL011|PATHANANTHITTA
PB021|PATHANKOT
PB015|PATIALA
BR025|PATNA
UA008|PAURI
TG014|PEDDAPALLI
TN014|PERAMBALUR
NL011|PEREN
NL004|PHEK
MN011|PHERZAWL
UP056|PILIBHIT
UA009|PITHORAGARH
PY002|PONDICHERRY
JK011|POONCH
GJ018|PORBANDER
AP016|PRAKASAM
RJ033|PRATAPGARH
UP057|PRATAPGARH
TN015|PUDUKKOTTAI
JK002|PULWAMA
MH022|PUNE
WB022|PURBA BARDHAMAN
WB012|PURBA MEDINIPUR
OR026|PURI
BR027|PURNIA
WB016|PURULIA
UP058|RAE BARELI
KA022|RAICHUR
CT013|RAIGARH
MH023|RAIGARH
CT014|RAIPUR
MP028|RAISEN
TG015|RAJANNA SIRCILLA
MP029|RAJGARH
GJ019|RAJKOT
CT015|RAJNANDGAON
JK013|RAJOURI
RJ027|RAJSAMAND
KA029|RAMANAGARA
TN016|RAMANATHAPURAM
JK019|RAMBAN
JH024|RAMGARH
UP059|RAMPUR
JH016|RANCHI
TG008|RANGAREDDI
TN045|RANIPET
MP030|RATLAM
MH024|RATNAGIRI
OR027|RAYAGADA
JK018|REASI
MP031|REWA
HR014|REWARI
ML007|RI BHOI
HR019|ROHTAK
BR028|ROHTAS
UA010|RUDRAPRAYAG
PB016|RUPNAGAR
GJ020|SABAR KANTHA
MP032|SAGAR
UP060|SAHARANPUR
BR029|SAHARSA
JH017|SAHIBGANJ
MZ002|SAIHA
MZ011|SAITUAL
TN017|SALEM
BR030|SAMASTIPUR
JK017|SAMBA
OR028|SAMBALPUR
UP075|SAMBHAL
TG021|SANGAREDDY
MH025|SANGLI
PB017|SANGRUR
UP061|SANT KABIR NAGAR
JH022|SARAIKELA KHARASAWAN
BR031|SARAN
PB019|SAS NAGAR
MH026|SATARA
MP033|SATNA
RJ028|SAWAIMADHOPUR
MP034|SEHORE
MN005|SENAPATI
MP035|SEONI
TR006|SEPAHIJHALA
MZ008|SERCHHIP
BR032|SEWAN
MP036|SHAHDOL
UP063|SHAHJAHANPUR
MP037|SHAJAPUR
UP076|SHAMLI
PB014|SHD BHAGAT SINGH NGR
BR033|SHEIKHPURA
BR034|SHEOHAR
MP038|SHEOPUR
AR024|SHI-YOMI
HP009|SHIMLA
KA023|SHIMOGA
MP039|SHIVPURI
JK015|SHOPIAN
UP064|SHRAVASTI
AR020|SIANG
AS021|SIBSAGAR
TG022|SIDDIPET
UP065|SIDHARTHNAGAR
MP040|SIDHI
RJ029|SIKAR
DN001|SILVASSA
JH020|SIMDEGA
MH027|SINDHUDURG
MP049|SINGRAULI
HP010|SIRMAUR
RJ030|SIROHI
HR005|SIRSA
BR035|SITAMARHI
UP066|SITAPUR
TN018|SIVAGANGA
HP011|SOLAN
MH028|SOLAPUR
OR029|SONAPUR
UP067|SONBHADRA
HR010|SONIPAT
AS022|SONITPUR
SK006|SORENG
WB017|SOUTH 24 PARGANAS
AN001|SOUTH ANDAMAN
ML006|SOUTH GARO HILLS
GO002|SOUTH GOA
